ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313
ASV_73	3.649	11.575	0.00122356818949023	0.0187984567294408	Enriched	0.593	0.048	0.327	0.054	0.047	0.003	9.532	0.082	0.002	0	0	0	0	0	0	0.014	0.003	0.011	0	0.055	0.122	0.446	0.299	0.018	0.082	0.066	0.043	0.001	0	0	0	0	0	0	0.006	0.019	0	0.001	0.001	0.004	0.004	0	0.013	0.001	0.056
ASV_134	-3.241	12.116	0.00173204981043064	0.0243930348302315	Depleted	0.058	0.327	0.072	0.038	0.095	0.019	0.239	0.102	0.021	0	0.155	0.098	0	0	0.001	0.119	0.001	0	0.018	0.033	0.089	0.114	0.051	0.015	0.065	0.01	0.024	0.011	0.001	0.063	0.026	0.071	0	0.012	0.193	6.531	0.054	0.663	0.083	0.087	0.188	0	0.072	0.05	0
ASV_154	-2.729	12.307	0.00213080703118726	0.0277004914054344	Depleted	0.101	0.43	0.02	0.051	0.022	0.021	0.36	0.032	0.108	0.023	0.339	0	0.001	0	0	0.187	0.003	0.521	0.025	0.036	0.274	0.033	0.049	0.007	0.048	0.007	0.031	1.056	0.003	0.06	0.48	0.318	0.122	0.354	6.335	0.019	0.613	0.018	0.482	0.027	0.056	0.381	0.072	0.246	0.041
ASV_129	-2.691	11.831	0.00234565976428977	0.0282918659626361	Depleted	0.06	0.358	0.035	0.041	0.006	0.126	0.027	0.004	0.025	0.064	0.158	0.049	0	0.008	0.214	0.145	0.095	0.021	0	0.247	0.102	0.03	0.06	0.006	0.055	0.001	0.001	0.004	0.067	0.392	0.048	0.01	0	1.176	3.937	0.01	0.012	0.06	0.258	0.099	0.305	0.014	0.129	0.102	2.175
ASV_125	3.864	11.065	0.00251111236354758	0.0282918659626361	Enriched	0.224	0.017	0	0.003	0.019	0.029	0	0	0.003	0	0.006	0.001	3.034	0	0	0.001	0.022	0	0.696	0.003	0	0	0	0.022	0	0.004	0.006	0.02	0.007	0	0.133	0.001	0	0	0.001	0.224	0.003	0	0.007	0	0	0	0	0	0.004
ASV_122	2.625	11.118	0.00492226820880727	0.0519914579555268	Enriched	0.307	0.042	0.042	0.008	1.022	0.036	1.537	0	0.039	0.025	0.076	1.343	0.027	0	0.011	1.047	0.003	0.008	0	0.039	0.015	0.055	0.038	0.2	0.082	0.049	0	0.023	0.001	0	0.4	0.012	0.001	0	0	0.005	0.003	0	0.06	0	0.004	0.063	0	0.02	0.014
ASV_117	-2.598	13.481	0.00601027989928698	0.0597492531164411	Depleted	0.174	0.827	0.243	0.241	0.017	0.034	0.17	0	0.007	0.645	0.038	0.44	0.191	0.002	0.4	0.112	0.188	0.215	0.013	0.041	0.039	0.31	0.062	0.128	0.103	1.116	0.001	0.014	0.057	0.099	0.475	8.103	0.008	1.234	0.157	0.003	0.229	0	0.032	0.001	0.04	8.641	0.023	0.328	0.249
ASV_43	-1.99	12.339	0.00779029762991297	0.0731422388586273	Depleted	0.164	0.37	0.24	0.397	0.221	0.012	0.243	0.082	0.06	0.021	0.084	0.083	0.148	0.002	0.004	0.096	0.012	0.843	0.243	0.341	0.797	0.321	0.464	0.06	0.23	0.004	0.2	1.819	0.007	1.137	0.192	0.378	1.262	0.186	0.163	1.371	0.147	0.009	0.191	0.014	0.023	0.108	0.004	0.032	0.151
ASV_114	-2.976	13.894	0.0102483698774742	0.0911565531206914	Depleted	0.225	0.817	0.002	0.026	0.009	0.115	0.055	0.001	0.65	0	0.18	0	0	0	0.001	0.061	1.531	1.189	0	0.13	0.01	0.003	0.013	0.006	0.002	3.545	0.001	0.013	0.599	0.086	0.006	0.003	0	0.001	0.003	0.057	4.702	1.015	0.613	3.768	1.785	0	3.205	1.196	0.482
ASV_142	2.519	10.144	0.015927236198779	0.116737606934651	Enriched	0.118	0.021	0.037	0.031	0.024	0.036	0.06	0.005	0.016	0	0	1.139	0.003	0	0.123	0.006	0.489	0	0.028	0.003	0.002	0.033	0.002	0.225	0.026	0.006	0	0.014	0.007	0	0.01	0.179	0	0	0	0	0	0.001	0	0	0	0.014	0	0.001	0.01
ASV_188	1.95	12.247	0.0160259804199143	0.116737606934651	Enriched	0.542	0.128	0.02	0.015	0.095	0.003	0.128	0.412	0.008	0.008	0.147	3.568	0.669	0.005	0.159	0.006	0.55	2.618	0.814	0.005	0.01	0.017	0.009	0.133	0.012	0.007	0.039	0.022	0.001	0.044	0.003	1.011	0.235	0.122	0.037	0.064	0.29	0.006	0.117	0.008	0.001	0	0.006	1.073	0.07
ASV_174	-3.463	13.549	0.0169675435820653	0.116737606934651	Depleted	0.078	0.871	0.032	0.01	0.047	0	0	0	0	0.003	0.009	1.212	0.004	0	0.001	0.004	0.001	0.004	0	0.048	0.347	0.033	0.015	0.201	0.014	0	0	0	0	0.003	0.015	21.801	0	0.021	0.001	0	0.009	0.001	0	0	0.007	0.049	0.033	0.021	0.018
ASV_39	-2.448	13.479	0.0172966904262115	0.116737606934651	Depleted	0.191	1.087	0.327	0.013	0.009	0.005	0.709	0.043	0.014	0.008	0.998	0.006	0.157	0.614	0.001	0	0.335	0.003	0	0.286	0.541	0.402	0.182	0.144	0.096	0.029	0.001	0.026	0.062	0.031	0.457	0.218	0	0	0	0.031	4.713	0.019	0.042	0.045	0.053	20.043	0.046	0.482	0.315
ASV_86	2.846	11.899	0.0174376445128891	0.116737606934651	Enriched	0.43	0.088	0.057	2.476	0.075	0.289	0	0.016	0	0	0.254	2.975	0.01	1.051	0	0	0.1	0	0	0	0	0.102	1.107	0.486	0.122	0.001	0.008	0.004	0.158	0	0.03	0.246	0.001	0.003	0.011	0	0	0	0.007	0	0	0	0	0	0
ASV_67	2.678	15.232	0.017615306894368	0.116737606934651	Enriched	3.109	0.448	0.092	0.595	0	10.166	0.284	0.171	0.038	0.073	0.006	8.997	0.003	27.127	0.044	0.726	0	4.526	0.003	0.002	0.002	0.108	0.083	0.274	0.046	0.006	0.066	0.035	10.689	0.001	0.008	0.128	0.001	0.163	0	0.005	0.003	0.005	0.006	0.003	0.004	0	0	0	0
ASV_34	-1.743	12.289	0.0179596318361002	0.116737606934651	Depleted	0.13	0.434	0.099	0.113	0.343	0.526	0.133	0.01	0.05	0.089	0.116	0.369	0.028	0.012	0.189	0.028	0.007	0.095	0.001	0.247	0.503	0.061	0.085	0.136	0.575	0.076	0.001	0.066	0.094	0.069	0.015	0.757	0	0.509	0.955	0.05	0.944	0.237	0.249	0.353	1.093	2.409	0.045	0.602	1.15
ASV_159	1.744	11.38	0.0215850164181459	0.133974849333613	Enriched	0.369	0.089	0.03	0.005	0.06	0.031	0.129	0.003	0.028	0.175	0.116	0.019	0.743	0.003	0.036	0.723	0.003	2.584	1.577	0.113	0.068	0.028	0.058	0.012	0.01	0.003	0	0.061	0.021	0.099	0.984	0.001	0.004	0.18	0.097	0.023	0.003	0.006	0.162	0.001	0.013	0.053	0.053	0.251	0.007
ASV_2	-2.1	15.665	0.02219701645764	0.133974849333613	Depleted	1.609	3.769	3.306	5.212	1.239	0.389	1.158	8.479	2.303	0.005	0.315	0.246	0.112	0.003	0.034	2.5	0.058	1.138	0.86	8.236	5.475	4.824	5.822	0.191	1.129	0.053	14.134	22.539	0.001	0.019	0.008	0.184	23.014	7.219	0.685	1.718	1.999	0.052	0.479	0.036	0.07	0	0.001	0.074	0.029
ASV_220	-1.645	9.272	0.0269172645835329	0.156862679814381	Depleted	0.024	0.066	0.062	0.138	0.011	0.003	0.002	0.081	0.006	0	0	0	0.021	0	0.015	0.011	0.016	0.017	0.025	0.125	0.479	0.097	0.152	0.035	0.01	0.002	0.109	0.152	0	0.077	0.004	0.01	0.001	0.127	0.024	0.02	0.121	0.004	0.038	0.015	0.004	0.005	0.005	0.051	0.053
ASV_24	3.465	7.037	0.0288248452332873	0.162379961480852	Enriched	0.011	0.001	0	0.01	0	0.088	0	0	0.084	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0.004	0	0.002	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_72	-2.164	14.418	0.0345463675235012	0.18252971336643	Depleted	0.595	1.284	0.057	0.138	7.805	0.177	0.014	0.114	0.002	0.103	0.116	0.006	0	0	0.356	0.204	0.065	0.575	0.389	0.009	0.313	0.05	0.22	0.158	0.408	0	0.669	0.108	0.034	0.929	0.011	1.763	17.456	6.909	3.399	0.014	0.031	0.005	0.006	0.003	0.003	0.007	0.01	0.051	0.815
ASV_42	1.864	12.047	0.0345618392173122	0.18252971336643	Enriched	0.576	0.164	0.258	0.387	6.383	0.009	0.025	0.036	0.006	1.168	0.015	0.001	0	0	0.821	0.458	0.016	0.035	0.168	0.026	0.01	0.324	0.526	0.072	1.328	0.002	0.046	0.034	0.057	0.001	0.003	0.001	0.008	0	1.236	0.023	0.117	0.01	0.023	0.004	0.053	0	0.001	0	0.363
ASV_200	-1.881	10.8	0.0421878339949287	0.216052846822513	NotSig	0.063	0.137	0.22	0.167	0.06	0.033	0.301	0.075	0.043	0	0.006	0.001	0.004	0	0.004	0.152	0	0.007	0.001	0.142	0.183	0.21	0.348	0.035	0.07	0.009	0.006	0.01	0	1.759	0	0.003	0.003	0	0.047	0.008	0.018	0.237	0.061	0.02	0.313	0	0.007	0.045	0.041
ASV_71	-2.309	14.947	0.0468848744623577	0.222100012834572	NotSig	0.512	1.7	0.064	0.246	0.011	0.002	0.004	0.04	0.005	4.48	2.261	0.001	0.001	0.003	0.587	0.759	0.118	0.103	0.01	0.043	0.002	0.163	0.026	0.032	0	0	0.003	0.013	1.756	0	0.001	0	0.023	0.001	0.295	0.329	0.768	20.013	1.328	13.113	5.809	0	0.283	0.194	0.001
ASV_47	2.135	9.776	0.0480497238013959	0.222100012834572	NotSig	0.15	0.034	0.114	0.041	0.007	0	0	2.199	0.002	0	0.001	0.011	0	0	0	0.02	0.001	0.001	0.152	0.048	0.201	0.078	0.107	0	0	0	0.379	0.001	0	0	0.001	0	0	0	0.001	0.034	0.012	0.001	0.003	0.001	0.007	0	0.002	0	0.007
ASV_15	1.465	13.73	0.04830645885229	0.222100012834572	NotSig	1.329	0.4	0.062	0.103	1.803	4.919	3.042	0.011	2.776	0.666	0.137	0.341	2.371	0.203	0.496	0.068	3.142	0.481	1.97	0.548	0.195	0.05	0.073	4.985	0.669	0.691	0.001	0.406	0.355	0.074	0.237	0.038	0.003	0.204	0.011	0.003	0.01	0.029	0.417	0.034	0.11	0.953	0.093	0.066	0.148
ASV_18	-1.913	15.427	0.048625446596918	0.222100012834572	NotSig	0.847	1.953	0.163	0.085	0.021	1.742	1.78	0.051	0.088	0.11	0.179	5.657	0.003	1.86	0.004	1.774	0.518	0.37	0	0.212	2.889	0.244	0.141	11.124	8.22	14.468	0.006	0.158	3.889	1.643	0.032	5.294	0.016	0	0.003	0.102	0.084	0.048	0.269	0.249	0.138	0.282	0.457	0.764	0.043
ASV_80	-4.678	11.985	0.0545880817770499	0.24277331106109	NotSig	0.024	0.489	0	0	0.004	0	0	0.403	0	0	0	0	0	0	0	0	0	0	0	0.003	0.006	0	0.002	0.006	0	0	12.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_21	-2.097	10.379	0.0587101654894373	0.254410717120895	NotSig	0.047	0.219	0.411	0.097	0	0.021	0.236	0.014	0.007	0	0.001	0	0	0	0	0	0.007	0	0.011	1.844	1.888	0.357	0.314	0	1.105	0.002	0.049	0.008	0	0.013	0	0	0.012	0.003	0.02	0.014	0.008	0.015	0.01	0.003	0.012	0	0	0.011	0.001
ASV_177	-2.063	8.188	0.0685873956462005	0.289781746605197	NotSig	0.005	0.029	0.015	0.003	0.002	0.046	0.004	0	0.006	0.01	0	0	0	0	0	0	0	0	0	0.086	0.013	0.042	0.015	0.013	0.206	0.001	0	0.006	0	0	0	0	0.02	0.218	0	0.003	0.013	0.003	0.004	0.006	0.117	0	0	0	0
ASV_76	-1.335	12.442	0.0795593833836542	0.323545303502213	NotSig	0.269	0.376	0.203	0.144	0.095	0.072	0.3	0.086	0.017	0.094	0.124	0.004	0.014	0.005	0.442	2.263	0.012	0.577	0.127	0.185	0.265	0.332	0.152	0.074	0.307	0.022	0.032	0.028	0.036	0.424	0.008	0.041	0	0.357	0.029	4.712	0.151	0.92	0.264	0.151	0.36	0.016	0.426	0.43	0.067
ASV_99	1.863	12.629	0.0804077085626802	0.323545303502213	NotSig	0.596	0.188	0.022	0.105	0.007	0.289	0.005	0.032	0.709	0	0.013	0.011	4.907	0	0	0.001	1.525	0.001	2.511	0.086	0.057	0.039	0.169	0.047	0.067	0.079	0.008	0.047	0.126	0	3.728	0.001	0.001	0	0.006	0	0	0	0.001	0	0	0.011	0	0.006	0.412
ASV_56	-1.679	11.101	0.0860264958403888	0.338104134814551	NotSig	0.076	0.283	0.193	0.01	0.691	0.038	0.005	0.008	0.051	0.021	0.004	0.024	0.007	0.005	0.167	0.001	0.003	0	0.066	0.039	0.161	0.111	0.024	0.139	6.1	0.002	0.003	0.066	0.064	0.093	0.091	0	0.001	0	0.013	0.001	0	0.005	0	0.001	0.007	0	0.001	0.086	0.341
ASV_81	1.215	12.242	0.0930074290544075	0.357233079777156	NotSig	0.365	0.179	0.025	0.079	0.174	0.669	0.213	0	0.807	0.118	0.26	1.269	1.586	0.317	0.215	0.255	0.157	0.019	0.034	0.214	0.075	0.039	0.058	0.051	0.29	0.045	0	0.156	0.05	0.102	0.32	0.923	0.003	0.004	0.003	0.008	0.017	0.027	0.156	0.118	0.22	0.943	0.231	0.446	0.15
ASV_203	1.406	13.574	0.102155137141624	0.383649292820765	NotSig	0.894	0.23	0.007	0.103	0.019	0.146	0.046	0.095	0.019	1.861	1.861	2.235	0.162	5.095	0.541	0.687	0.99	1.332	0.003	0.027	0.047	0.008	0.045	0.193	0.012	1.15	0.015	0.011	2.019	0	0.062	0.003	0.001	0.132	0.001	0.008	0.273	0.055	0.114	0.491	0.034	0.058	0.777	0.435	0
ASV_1	-1.107	15.258	0.10993927212884	0.403907325864653	NotSig	2.098	3.761	3.553	11.285	1.198	0.126	0.622	8.055	0.426	0.477	0.214	0.266	2.606	0.008	1.27	0.572	0.704	2.556	1.72	13.375	10.78	5.455	11.016	0.352	0.839	0.042	9.19	4.258	0.091	17.509	0.073	1.777	0.184	11.853	0.645	2.035	1.311	0.188	1.611	0.516	0.195	0.254	0.698	2.843	0.699
ASV_104	-1.776	12.324	0.112715973391929	0.405297861770979	NotSig	0.122	0.447	0.007	0.036	0	0.003	0.007	0	0.01	0.578	0.029	0	0.149	0	0.391	0.02	0.843	0.001	0	0.072	0.193	0.008	0.038	0.064	0.098	0.002	0	0.002	0	0.068	0.108	0	0.009	0.004	0	0	0.29	0.003	0.026	0.003	0.004	9.844	0.025	0.469	0.289
ASV_41	1.294	10.978	0.119834090439611	0.421915860089462	NotSig	0.247	0.081	0.02	0.226	0.036	0.007	0.014	0.541	0.01	0.048	0	0.004	0.013	0.005	0.074	0	0.519	0.106	2.573	0.116	0.115	0.075	0.028	0.051	0.01	0.044	0.281	0.061	0.003	0	0	0.024	0.131	0	0.063	0.016	0.006	0.004	0.306	0.008	0.004	0	0.007	0.725	0.041
ASV_176	1.539	12.687	0.124384523572681	0.428999683342512	NotSig	0.713	0.166	0.005	0	2.559	0.003	0.218	0.003	0.082	0.003	0.346	0.008	3.074	0.011	0	0.699	0.001	0.005	5.098	0.017	0.002	0	0	0.267	0.041	0.003	0	1.201	0.001	0.001	0.848	0.001	0.873	0.003	0.425	0.042	0.444	0.001	0.007	0.001	0.004	0.002	0	0.001	0.138
ASV_59	-1.334	12.851	0.138699533856075	0.468804424433534	NotSig	0.242	0.572	0.054	0.072	0.294	0.034	1.347	0.014	1.461	0.004	0.076	0.018	0.462	0	0.019	0.004	0.004	0.118	0.133	0.063	0.068	0.058	0.171	10.297	0.201	0.041	0	0.168	0.025	0.248	0.966	0.676	0.001	0.96	0.387	0.037	0.057	0.01	0.079	0.039	0.026	0	0.016	0.006	0.259
ASV_141	-1.22	10.119	0.141912864089915	0.470260275121483	NotSig	0.06	0.086	0.371	0.01	0.073	0.036	0.011	0.04	0.04	0.005	0.06	0	0.006	0.005	0.029	0.075	0.001	0.262	0.003	0.017	0.062	0.781	0.036	0.006	0.055	0.01	0	0.024	0.003	0.001	0.387	0	0.047	0	0.014	0.031	0.004	0.445	0.01	0.034	0.14	0	0.002	0.061	0.062
ASV_109	1.347	11.364	0.145194884491218	0.47188337459646	NotSig	0.161	0.11	0.012	0.005	0.007	0.378	0.007	0.321	0.069	0	0.023	0	0	1.698	0.01	0.036	0.03	0.057	0.085	0.014	0.019	0.006	0.013	0.006	0.808	0	0.004	0.017	0.025	0.042	0.006	0	0	0.005	0.001	0.001	0.001	0.014	0.131	0.015	0.049	1.65	0.007	0.022	0.013
ASV_110	-1.168	12.438	0.151646223468249	0.479822363245414	NotSig	0.207	0.394	0.012	0.021	0.073	0.021	0.002	0.023	0.006	0.087	0.391	0.52	0.212	0.077	0.108	0.141	0.861	0.41	0.559	0.067	0.006	0.014	0.019	6.764	0.036	0.148	0.008	0.041	0.074	0.508	0.22	0.004	0.001	0.494	0.019	0.003	0.024	0.034	0.632	0.109	0.045	0.038	0.468	0.394	0.064
ASV_75	-1.636	11.027	0.153316021392026	0.479822363245414	NotSig	0.074	0.267	0.097	0.405	0.013	0.031	0.002	0.388	0.315	0.001	0	0	0	0	0	0.003	0	0	0.007	1.827	0.075	0.194	1.276	0.013	0.038	0	0.934	0.087	0	0	0	0	0.061	2.229	0.094	0.016	0.023	0.006	0.051	0.014	0.009	0	0	0	0
ASV_25	-1.372	14.043	0.163622270315302	0.496761432031658	NotSig	0.816	0.857	5.383	0.485	0.786	0.033	0.094	0.23	0.286	0.004	0.025	0.018	0.211	0.031	0.594	0.067	0.007	0.146	5.475	0.293	0.448	3.977	0.722	0.185	0.055	0.003	0.106	0.601	0.031	0.001	0.053	0.001	14.709	0.005	0.351	0.556	0.079	0.008	0.006	0.004	0.005	0	0	0	0.07
ASV_112	-1.188	11.181	0.167539630795789	0.496761432031658	NotSig	0.096	0.213	0.022	0	0.009	0.009	0.08	0	0.078	0.006	0.015	0.014	0.192	0.003	0.008	0.004	0	0.432	0.766	0.233	0.047	0.006	0.006	0.592	0.024	0.014	0.001	0.183	0.003	0	0.019	0.047	0.017	1.672	0.004	0.038	1.17	0.017	0.867	0.013	0.008	0.183	0.04	0.217	0.116
ASV_62	1.111	12.769	0.168338466883967	0.496761432031658	NotSig	0.551	0.263	0.03	0.051	2.08	1.506	0.06	0.007	0.548	1.461	0.004	0	0.548	1.003	0.075	0.024	1.904	0.051	0.01	0.17	0.148	0.03	0.021	1.674	0.321	0.045	0	0.08	0.541	0.544	0.238	0	0	0.007	0.007	0.007	0.015	0.193	0.268	0.08	0.289	1.207	0.289	0.441	0.214
ASV_128	1.429	5.6	0.171049204971406	0.496761432031658	NotSig	0.001	0	0.01	0	0	0.003	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0.008	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_149	-1.544	9.143	0.173425588697443	0.496761432031658	NotSig	0.026	0.075	0.047	0.269	0.094	0.002	0.009	0.003	0.001	0	0	0	0	0	0	0	0	0.015	0.006	0.82	0.346	0.028	0.436	0.01	0	0	0.001	0.01	0	0.051	0	0	0.001	0.147	0.066	0.019	0	0	0.001	0	0.004	0	0.015	0.006	0
ASV_3	-1.163	15.184	0.184769234548713	0.520433343978875	NotSig	1.949	3.216	1.491	2.597	11.886	0.113	0.133	3.168	0.05	0.016	0.201	0.003	0.001	0	0.869	4.664	0.01	2.533	5.398	3.285	5.389	1.277	2.272	0.12	26.412	0.068	1.318	0.073	0.027	19.546	0.024	3.496	2.695	5.479	10.227	0.584	0.187	0.045	0.261	0.006	0.107	0	0.201	0.498	0.032
ASV_29	-0.904	13.696	0.190335750358133	0.527323636238106	NotSig	0.468	0.871	0.084	0.331	0.258	0.56	0.119	0.119	0.263	0.672	0.25	0.806	0.162	1.521	1.085	0.702	0.251	0.306	0.473	0.396	0.229	0.111	0.244	1.805	0.302	0.743	0.01	0.018	0.324	0.379	0.017	0.196	0.028	2.692	1.084	0.053	5.004	0.328	0.536	2.726	0.942	0.135	2.187	1.619	0.551
ASV_28	-2.662	10.544	0.198892857065292	0.542143432968295	NotSig	0.017	0.124	0	0	0	0	0	0	0.295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098	0	0	0	0.936	0	0	0	0	0	0	0	0.004	0.089	0.011	2.084	0.004	0	0	0	0	0
ASV_88	0.95	12.346	0.202161699118412	0.542306780174789	NotSig	0.485	0.135	0.017	0.041	0.12	0.081	0.044	0.007	0.005	0.262	0.279	0.437	2.031	0.005	0.58	0.369	0.814	2.358	0.796	0.08	0.031	0.044	0.006	0.512	0.043	0.553	0.003	0.006	0.301	0.047	0.055	0.003	0.005	0.101	0.06	0.007	0.032	0.399	0.157	0.376	0.129	0.004	0.12	0.261	0.179
ASV_8	0.978	14.147	0.218517749691655	0.573493285546904	NotSig	1.632	0.859	0.475	0.287	0.097	3.057	0.245	0.143	5.795	1.884	4.048	0.004	0.006	1.574	3.404	6.69	0.01	0.027	0.003	1.461	1.262	0.385	0.547	0.152	2.535	0.001	0	0.284	0.003	0.037	0.389	0.003	0.028	0.004	0.031	0.1	0.164	1.038	1.541	0.55	2.874	5.655	1.016	2.224	0.042
ASV_57	1.485	14.115	0.220574340594963	0.573493285546904	NotSig	1.532	0.733	0.047	0	0.152	25.02	0	0.007	0.008	0.001	0.038	0	0	0	0.134	0.096	0	0.529	0.013	0.075	0.003	0.086	0.002	0.003	0.108	0	0	0.005	0	3.382	0.122	0	0.012	6.32	0.01	0.061	0.086	0.046	8.635	0.042	0.048	0	0	0	0
ASV_131	1.835	8.901	0.227515889657498	0.58257856594117	NotSig	0.062	0.019	0.104	0	0.086	0	0	0.669	0.001	0.176	0	0	0	0	0	0.008	0	0	0.001	0	0	0.147	0.12	0	0	0	0.193	0.004	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0
ASV_51	0.893	14.647	0.235233468477765	0.593350092130481	NotSig	1.699	0.745	0.037	0.387	0.045	0.791	0.115	0.03	4.743	3.167	2.427	4.871	0.32	6.363	0.701	2.234	1.11	1.539	0.006	0.127	0.107	0.061	0.235	0.603	0.549	1.758	0.018	0.079	5.321	0.883	1.075	0.603	0.003	0.055	0.066	0.065	1.921	0.329	0.39	1.641	0.882	0.34	1.187	1.06	0.011
ASV_143	-1.534	8.767	0.239703926502536	0.595734758513657	NotSig	0.021	0.059	0.191	0.021	0.007	0	0.023	0.119	0	0	0	0	0	0	0	0	0	0	0	0.007	0.614	0.136	0.182	0.004	0.062	0.001	0.489	0	0	0	0	0	0	0	0.003	0.01	0.003	0.003	0	0.001	0	0	0	0	0.025
