KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_104	63	74	83	76	112	73	26	30	48	49	53	70	54	67	55	47	74	34
ASV_7	216	132	1232	367	1298	291	130	1208	834	508	195	220	799	919	547	215	580	857
ASV_12	32	118	617	315	192	213	197	739	679	470	373	122	288	298	239	204	472	591
ASV_51	160	112	652	8	43	80	34	32	368	299	27	18	53	52	73	19	58	31
ASV_9	344	801	354	444	270	551	293	442	637	392	552	398	588	325	439	430	754	512
ASV_31	174	168	178	273	57	254	174	194	229	189	219	131	243	184	213	182	271	146
ASV_86	62	90	14	42	27	41	57	126	35	29	50	59	96	136	110	63	170	67
ASV_117	48	30	57	23	35	55	23	74	157	86	58	20	49	45	54	57	11	21
ASV_52	89	223	215	91	91	118	135	140	214	125	180	116	162	248	193	198	153	213
ASV_18	230	324	189	266	174	222	227	182	209	352	280	195	447	497	224	288	506	291
ASV_19	208	719	123	175	137	260	187	227	103	161	395	220	341	116	589	118	177	149
ASV_42	98	279	265	126	181	119	89	118	101	105	157	100	149	202	150	174	56	151
ASV_45	103	255	236	107	200	79	102	88	101	56	105	98	186	136	124	272	81	96
ASV_49	95	180	194	50	47	98	129	134	74	46	90	166	180	78	131	288	132	170
ASV_154	31	85	18	50	37	37	29	42	24	37	30	49	61	45	30	62	14	30
ASV_59	98	132	134	134	119	121	82	140	102	67	145	66	91	124	107	98	113	91
ASV_87	33	69	115	92	117	80	34	64	53	30	144	49	63	49	65	56	64	54
ASV_120	46	81	105	78	58	86	22	26	36	25	28	33	26	29	50	54	36	25
ASV_20	189	435	86	260	156	160	72	119	49	182	115	107	251	295	107	136	1562	115
ASV_23	122	440	509	90	191	293	74	81	71	132	170	69	159	231	125	493	150	117
ASV_69	18	14	4	1198	3	27	26	25	12	33	35	14	73	11	5	35	8	50
ASV_116	7	33	8	8	534	12	17	19	10	19	18	11	59	20	26	4	84	19
ASV_109	48	56	14	21	2	2	57	102	41	44	31	74	173	23	92	104	0	130
ASV_25	116	134	1140	59	32	69	256	147	76	180	169	120	141	29	292	244	208	373
ASV_26	168	181	121	394	62	31	219	274	312	91	186	126	373	77	169	90	10	620
ASV_92	23	109	6	159	11	69	85	29	56	48	73	38	44	126	64	97	50	46
ASV_21	145	369	198	119	101	140	164	195	156	154	192	158	214	317	199	291	374	219
ASV_126	46	46	49	41	29	41	41	76	50	42	35	58	44	18	72	47	54	82
ASV_137	49	54	81	66	56	48	36	32	38	20	36	26	39	37	44	49	50	36
ASV_10	360	363	689	760	1023	662	198	177	281	280	404	279	331	587	248	262	524	281
ASV_48	103	61	199	143	172	110	143	157	137	113	175	204	56	79	98	128	173	117
ASV_108	54	27	57	48	84	50	26	40	54	95	85	70	31	47	40	51	54	50
ASV_62	92	79	161	158	231	143	57	60	63	72	80	90	55	140	55	98	143	99
ASV_15	322	421	441	337	368	378	370	306	280	252	404	367	294	272	311	366	361	367
ASV_27	191	249	203	119	154	203	257	160	146	141	190	210	169	180	232	185	118	225
ASV_74	76	88	89	81	117	79	88	69	56	62	108	66	71	78	81	72	86	73
ASV_103	51	58	13	86	64	150	24	31	43	36	53	40	75	52	53	48	56	35
ASV_134	45	57	65	73	57	60	29	22	46	37	44	43	38	40	33	53	76	45
ASV_22	196	204	311	241	227	217	258	155	147	170	184	217	155	176	232	160	163	204
ASV_148	56	62	37	19	18	32	46	30	28	22	50	43	28	23	63	35	17	46
ASV_68	74	90	116	56	79	95	122	67	69	68	86	55	56	83	173	46	66	103
ASV_142	41	48	38	30	14	44	69	31	42	42	48	36	21	34	57	26	35	80
ASV_65	71	93	80	111	84	106	84	65	68	69	229	67	79	103	93	66	68	100
ASV_56	135	119	145	172	198	139	80	86	67	98	105	70	98	91	93	86	102	101
ASV_96	58	48	135	105	130	78	37	32	45	42	57	35	30	52	33	51	51	54
ASV_105	38	18	40	62	320	56	6	127	1	41	29	21	4	10	30	25	51	95
ASV_24	177	159	497	494	340	258	104	64	151	97	131	158	108	232	116	218	121	113
ASV_71	57	62	139	81	286	47	40	68	16	89	100	59	62	49	58	98	145	78
ASV_140	37	36	49	52	79	61	34	23	19	31	39	16	19	42	37	37	50	27
ASV_29	113	112	347	190	388	242	106	178	91	121	170	67	178	230	114	185	333	199
ASV_129	21	27	102	60	63	48	27	44	27	33	56	31	23	37	37	36	76	75
ASV_33	207	180	143	146	87	187	267	178	189	180	236	262	222	210	336	253	259	313
ASV_37	130	101	134	53	142	116	186	131	118	132	177	184	151	227	299	203	234	244
ASV_102	43	72	49	69	128	52	67	51	49	46	58	56	58	53	92	88	54	67
ASV_46	131	122	84	170	69	116	190	109	162	142	186	104	130	204	173	184	137	177
ASV_119	41	29	65	29	13	24	71	54	51	37	60	44	39	81	60	80	69	48
ASV_153	32	35	96	18	17	23	44	36	39	35	38	36	27	51	47	64	22	32
ASV_77	100	67	66	67	32	66	121	75	83	84	93	105	79	101	143	110	80	119
ASV_89	55	68	38	37	32	52	87	61	55	78	76	64	43	92	69	101	72	89
ASV_34	94	226	96	202	20	70	164	124	139	182	172	99	294	362	234	228	257	136
ASV_95	55	64	89	52	37	50	23	60	73	52	41	33	108	83	70	54	134	116
ASV_138	38	44	64	28	23	41	25	33	64	33	26	17	66	36	36	33	59	61
ASV_53	94	181	157	122	64	92	105	160	121	85	118	79	99	100	134	150	101	144
ASV_113	30	96	56	67	50	50	57	57	57	56	42	55	46	50	69	42	44	60
ASV_35	147	150	218	197	156	134	119	86	171	153	174	145	177	211	207	189	198	230
ASV_40	3	43	6	68	141	3	42	268	7	122	160	104	919	61	18	45	256	142
ASV_78	93	74	57	83	52	68	33	70	12	35	127	65	7	0	103	94	145	138
ASV_43	145	123	41	56	45	101	533	195	304	288	137	550	49	18	75	48	28	72
ASV_172	31	26	7	14	11	19	99	50	52	76	38	143	8	5	18	9	10	18
ASV_54	119	279	107	110	152	161	160	160	50	91	81	102	94	26	69	53	139	85
ASV_130	27	73	15	55	8	123	24	7	21	47	18	21	10	21	92	19	15	126
ASV_84	42	107	41	2	9	344	90	18	29	143	27	24	212	0	37	62	25	49
ASV_88	93	150	6	20	2	462	49	41	34	75	29	67	53	12	13	43	0	15
ASV_91	182	73	69	117	0	47	81	93	138	133	78	26	11	15	1	68	20	2
ASV_64	58	94	134	167	130	128	52	33	68	65	72	42	70	127	71	96	148	51
ASV_124	51	30	126	29	15	26	47	16	26	32	55	32	42	46	60	55	33	66
ASV_63	130	107	138	127	165	145	62	33	47	62	86	59	97	90	51	83	69	98
ASV_147	45	70	50	23	24	64	46	19	23	27	39	22	17	44	22	32	64	30
ASV_66	70	111	39	50	42	49	161	110	85	90	94	117	94	72	114	78	63	90
ASV_67	31	33	39	34	59	32	128	126	80	431	96	362	27	16	22	34	98	46
ASV_90	24	6	41	41	197	22	31	307	13	58	117	42	6	20	108	3	164	96
ASV_70	94	43	59	97	76	363	44	36	70	67	49	106	54	49	91	60	59	65
ASV_80	93	30	40	59	125	38	42	99	45	97	212	54	53	23	107	58	80	53
ASV_76	52	46	107	64	74	63	44	28	63	38	60	93	35	186	42	276	34	49
ASV_133	53	47	38	74	38	54	31	23	46	36	36	52	48	39	51	31	38	39
ASV_93	7	10	76	68	63	33	33	79	27	23	79	51	57	43	34	50	229	224
ASV_81	70	26	97	101	80	71	28	36	133	80	53	66	73	123	92	97	80	95
ASV_114	62	55	89	91	103	48	39	38	43	44	53	41	66	66	69	70	61	82
ASV_101	82	98	12	28	32	57	103	55	62	47	74	108	60	37	72	40	55	71
ASV_110	12	36	63	106	141	22	69	40	28	67	46	25	57	132	69	62	58	35
ASV_112	28	16	14	16	10	11	73	43	104	102	62	33	68	98	71	86	42	36
ASV_121	48	35	44	30	12	44	68	42	44	48	55	74	36	35	43	21	50	49
ASV_122	43	79	38	44	19	49	63	68	68	49	40	60	56	39	52	51	42	58
ASV_163	25	47	27	32	18	27	42	48	41	36	44	64	53	29	41	34	32	38
ASV_151	89	62	13	43	21	26	49	34	45	40	27	28	42	28	45	29	10	25
ASV_156	50	72	67	29	58	77	57	24	24	30	42	43	19	26	32	31	34	36
ASV_162	43	45	59	52	12	45	65	28	40	36	34	52	29	14	46	18	21	33
