ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS00P003	HS00P004	HS00P010	HS00P011	HS00P012	HS00P014	HS00P019	HS00P025	HS00P029	HS00P034	HS00P036	HS00P040	HS00P041	HS00P042	HS00P044	HS00P045	HS00P046	HS00P047	HS00P048	HS00P050	HS00P051	HS00P055	HS00P056	HS00P057	HS00P058	HS00P059	HS00P061	HS00P063	HS00P064	HS00P068	HS00P071	HS00P072	HS00P073	HS00P074	HS00P075	HS00P077	HS00P082	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196
ASV_93	2.498	11.024	0.0037958656438792	0.0534584411512987	Enriched	0.194	0.034	0.117	1.03	0.514	0.096	0.511	0.306	0.202	0.948	0.087	0.141	0.054	0.84	1.009	0.365	0.473	0.32	0	0.083	0	0.1	0	0.003	0.11	0.006	0.072	0.003	1.883	0.007	0.005	0.153	0.003	0.024	0.072	0.02	0.009	0.043	0.024	0	0.005	0.008	0.005	0.003	0.006	0	0.001	0.012	0.003	0	0.011	0.005	0.228	0.097	0.006	0.002	0.016	0.151	0.007	0.001	0.003	0.022	0.011	0	0.001	0.001	0.007	0.009	0.015
ASV_1	1.963	16.289	0.0043229815517417	0.0561987601726421	Enriched	6.543	2.098	14.743	10.12	8.835	16.468	34.954	12.539	14.043	3.031	12.206	2.164	8.18	7.516	10.709	19.742	28.314	33.595	0.077	1.696	0.416	2.603	0.19	0.136	2.862	0.174	3.023	0.599	1.25	0.628	0.365	20.447	0.498	1.187	2.747	1.812	0.371	0.744	0.69	0.03	1.661	0.45	1.804	0.171	2.789	31.84	0.003	2.512	4.88	0.246	0.46	0.633	3.553	11.285	1.198	0.126	0.622	8.055	0.426	0.477	0.214	0.266	2.606	0.008	1.27	0.572	0.704	2.556	1.72
ASV_120	-2.281	11.029	0.00615470529128215	0.074296085301906	Depleted	0.066	0.355	0.03	0.037	0	0	0	0.005	0	0.006	0.023	0.004	0	0.002	0.002	0.009	0.03	0.318	0.096	0.053	0.002	0.006	0.015	0.012	0.032	0.03	0.006	0.005	0.005	0.002	0.253	0.083	0.011	0.022	0.024	0.625	0.005	0.181	0.011	0	0	0	0	0	0	0.107	0.001	0	0.576	0.015	0.664	0.004	0.01	0	0.017	0.026	3.223	0.021	0.009	0	2.687	0.018	0	0.003	0	0.004	0	0.001	0.01
ASV_101	5.089	10.007	0.00708488845390532	0.0797927512183527	Enriched	0.086	0.003	0	0	0.004	0	0	0	0.003	0.016	0.025	0.008	1.894	0.13	0.028	0.011	1.328	0.454	0	0.004	0	0.368	0	0	0.001	0	0	0	0	0	0	0	0.003	0	0.006	0	0	0	0.007	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.012	0.008	0	0.007	0.002	0	0	0	0	0	0	0	0	0	0	0.028	0
ASV_24	5.953	12.707	0.00755434331061327	0.0797927512183527	Enriched	0.801	0.011	0	0	0.032	0	0	0	0	0.002	0.03	0	0.004	0	0	0	0.006	0.002	0	0	0	0.001	0.04	0.223	0.08	0	0.066	0.002	0.01	0.005	0	0	0.204	9.15	0.596	29.417	0.001	0	0.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.088	0	0	0.084	0	0	0	0	0	0	0	0	0	0
ASV_53	3.265	12.159	0.00836376802325785	0.0831456938782692	Enriched	0.311	0.043	0.035	0.406	0.004	0.019	0.003	0.405	0.018	0.03	0.035	0.032	0.002	0.069	0.062	0.075	0.017	0.002	0.059	0.18	0.347	0.103	10.447	0	0	0.011	0	0	2.212	0.005	0.003	0.004	0.003	0.097	0.021	0.019	0	0.072	0.004	0.048	0.031	0.004	0	0	0	0.128	0.073	0	0.458	0	0.011	0	0.188	0.028	0.004	0.435	0	0	0.002	0	0.058	0	0	0	0	0.018	0	0.003	0
ASV_43	1.725	12.373	0.0095857132260589	0.0899991964002197	Enriched	0.426	0.164	0.357	0.556	0.321	0.53	0.808	0.29	0.535	0.291	0.543	0.196	8.272	0.47	0.364	1.059	0.783	0.534	0.016	0.246	0.006	0.296	0.131	0.014	0.493	0.09	0.216	0.103	0.035	0.056	0.17	1.379	0.15	0.121	0.155	0.4	0.051	0.038	0.113	0.018	0.312	0.059	0.089	0.001	0.081	0.123	0	0.046	0.238	0.032	0.008	0.086	0.24	0.397	0.221	0.012	0.243	0.082	0.06	0.021	0.084	0.083	0.148	0.002	0.004	0.096	0.012	0.843	0.243
ASV_56	2.023	11.72	0.0124869330304005	0.111067983270405	Enriched	0.389	0.076	0.348	0.055	0.009	0.021	0.102	0.497	0.09	0.01	0.044	0.067	0.009	0.114	0.023	0.027	0.171	0.097	0.552	0.316	0.132	0.066	0.04	0.26	5.137	0.31	0.504	0.248	0.087	0.717	0.272	0.096	0.093	0.299	2.739	0.039	0.103	0.078	5.124	0.006	0.056	0	0	0	0	0	0.458	0.02	0.01	0.012	0.001	0	0.193	0.01	0.691	0.038	0.005	0.008	0.051	0.021	0.004	0.024	0.007	0.005	0.167	0.001	0.003	0	0.066
ASV_144	3.062	11.12	0.0147786690682752	0.121926470381513	Enriched	0.233	0.029	0.014	0.007	0.023	0.038	0.089	0.07	1.787	0.002	0.177	0.004	0.265	0.038	0.249	0.084	0.299	3.273	0	0.018	0	0.011	0	0.005	0.165	0	0.028	0.005	0.172	0.005	0.003	4.779	0.001	0.002	0.045	0.001	0.001	0.001	0.002	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0.295	0.004	0	0.004	0.063	0.001	0	0	0.003	0	0	0	0	0	0.013	0.025
ASV_158	3.579	10.361	0.0151506264971111	0.121926470381513	Enriched	0.101	0.008	0.002	0.025	0.122	0.245	0	0.034	0.016	0	0.007	0.01	0.027	0	0	0	0	0	1.693	0	0.002	0.007	0	0	0.009	0.043	0.002	0	0.269	0.002	0.005	0	0.083	0.065	0.128	0.428	1.77	0.014	0.03	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0.003	0	0	0.013	0	0	0	0	0.002	0	0.102	0.009	0	0
ASV_44	1.8	11.647	0.0228603848219521	0.173461535459061	Enriched	0.219	0.098	0.604	0.255	0.161	0.569	0.062	0.284	1.3	0.033	0.934	0.099	0.074	0.052	0.242	0.053	0.009	0.031	0.002	0.026	0.003	0.026	0	0.014	0.586	0.019	0.202	0.062	0.037	0.099	0.043	0.556	0.005	0.007	0.2	0.497	0.012	0.02	0.06	0.013	0.201	0	0.229	1.807	0.186	1.081	0.001	0.013	0.001	0.005	0.004	0.186	0.168	0.71	0.073	0.002	0.002	0.084	0	0.013	0.001	0.001	0.139	0.002	0.081	0	0.033	0.349	0.008
ASV_51	-1.485	14.182	0.0236071912163219	0.173461535459061	Depleted	0.687	1.699	0.012	0.023	0.046	0.108	0.021	0.388	0.059	0.149	0.285	0.075	0.083	0.047	0.108	0.237	0.169	0.503	1.739	0.061	0.97	0.122	0.47	0.155	0.095	10.258	0.023	0.12	0.139	0.009	0.003	0	0.99	0.449	0.24	0.285	2.627	0.61	0.249	6.409	0.029	0.007	0.008	0.54	0	0.036	1.467	0.807	0.163	0.801	0.758	1.391	0.037	0.387	0.045	0.791	0.115	0.03	4.743	3.167	2.427	4.871	0.32	6.363	0.701	2.234	1.11	1.539	0.006
ASV_105	2.7	12.589	0.0290073863207079	0.187812833170149	Enriched	0.321	0.085	0	0.012	0.019	0.007	0	0.002	0.003	0.09	0.016	0.055	0.009	0.024	0.182	0.05	0	0.01	1.805	0.009	0	0.005	0.034	0	0.006	0.1	0.002	0	0.023	0.009	0.021	0	0.007	0.027	0.042	1.437	0	0.003	0.001	0.027	0	0	0	0	0.002	0.02	0.012	0	0.141	0	0.005	11.842	0.072	0.256	0	0.072	0.264	0.015	0.001	0.154	0	0	0	0.009	0.378	0.004	0.211	0.003	0.001
ASV_881	-1.91	12.075	0.0303233844686179	0.187812833170149	Depleted	0.23	0.577	1.268	0.333	0.071	1.985	0.018	0.51	0.574	0.393	1.241	0.634	0.083	1.08	0.603	0.68	0.672	0.495	0.002	0.002	0.006	0.068	0	0.002	0.05	0.001	0.015	0.289	0.005	0	0.003	0.138	0.013	0.014	0.157	0.004	0.001	0.001	0	0	0.078	0	0	0	0	0.003	0	0.009	0	0.006	0	0	9.373	0.113	0.157	0.003	0.009	0.005	0	0	0.004	0.001	0	0	0	0.054	0	0.086	0.007
ASV_21	2.183	11.198	0.0308939326436611	0.187812833170149	Enriched	0.213	0.047	0.135	3.34	0.904	0.402	0.094	0.15	1.324	0.059	0.221	0.349	0.242	0.235	0.161	0.251	0.379	0.579	0.22	0.239	0.002	0.015	0.012	0.024	0.007	0.029	0.001	0.002	0.523	0.007	0.014	0.205	0.03	0.014	0.042	0.026	0.273	0.105	0.035	0	0.001	0	0	0	0	0	0	0	0.004	0	0	0	0.411	0.097	0	0.021	0.236	0.014	0.007	0	0.001	0	0	0	0	0	0.007	0	0.011
ASV_92	2.222	8.351	0.0312339604554958	0.187812833170149	Enriched	0.028	0.006	0.006	0.004	0.219	0.009	0	0	0.01	0.01	0.014	0.02	0	0.014	0.007	0.114	0.019	0.008	0	0.006	0.002	0.006	0.01	0.02	0.072	0	0.046	0	0.058	0.002	0	0.004	0.031	0.022	0.027	0.042	0.513	0.004	0.062	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022	0.026	0	0.024	0.007	0.004	0.006	0	0	0	0	0	0	0	0	0	0.011
ASV_220	1.46	9.489	0.0312475483683654	0.187812833170149	Enriched	0.067	0.024	0.175	0.095	0.083	0.066	0.223	0.226	0.247	0.016	0.161	0.065	0.105	0.126	0.366	0.199	0.141	0.355	0.002	0.057	0.011	0.048	0.003	0.014	0.041	0.001	0.155	0.012	0.023	0.012	0.007	0.132	0.005	0.027	0.04	0.008	0.005	0.02	0.014	0	0.012	0.004	0.024	0	0.003	0.005	0.001	0.004	0.014	0.001	0.003	0	0.062	0.138	0.011	0.003	0.002	0.081	0.006	0	0	0	0.021	0	0.015	0.011	0.016	0.017	0.025
ASV_2	1.524	15.557	0.0322282376445819	0.187812833170149	Enriched	4.545	1.609	18.114	7.511	13.604	3.812	2.538	5.586	16.355	9.399	3.034	1.691	0.702	7.967	19.501	10.551	19.249	1.815	0.308	13.901	0.107	1.607	0.613	0.316	17.869	0.094	22.902	0.351	3.103	0.272	0.317	6.566	0.705	2.838	2.462	1.458	2.494	1.736	2.301	0	0.04	0.08	0.18	0.005	0.002	1.007	0.007	0.667	1.238	0.016	0.04	0.208	3.306	5.212	1.239	0.389	1.158	8.479	2.303	0.005	0.315	0.246	0.112	0.003	0.034	2.5	0.058	1.138	0.86
ASV_106	-1.792	12.136	0.035136486720468	0.19783967673196	Depleted	0.196	0.577	0.073	0.01	0.055	0.471	0	0.016	0.011	0	0.053	0.004	0	0.009	0	0.005	0.013	0.234	0.183	0.029	0.164	0.024	0	0.09	0.006	0.017	0.003	0.012	1.207	0.054	0.026	0	0.555	0.123	0.436	0.056	0.488	5.019	0.069	0	0.018	0	0	0	0	0	0.134	0.001	0.082	0.002	0.001	0.064	0.005	0	0.019	0.007	0.431	0	0.065	0.005	0.809	6.411	0	0.107	0.738	1.213	0.001	0.001	0
ASV_152	-1.183	11.244	0.0362901182171052	0.19783967673196	Depleted	0.123	0.258	0.327	0.166	0.125	0.058	0.382	0.131	0.175	0.031	0.186	0.028	0.218	0.256	0.304	0.295	0.163	0.22	0.005	0.209	0.003	0.051	0.003	0.003	0.11	0.029	0.064	0.056	0.127	0.005	0.009	0.266	0.173	0.027	0.199	0.029	0.008	0.059	0.014	0.001	0.945	0.101	0.08	0.094	0.041	0.098	0	0.003	0.132	0.004	0.07	0.05	0.121	0.244	0.004	0	0.005	0.384	0.01	0.385	0.616	0.004	0.013	0.017	0.646	0.247	0.547	0.132	1.014
ASV_63	1.76	11.57	0.0410516004597528	0.216803764928069	NotSig	0.237	0.094	0.014	0.345	0.183	0.084	1.79	0.129	0.124	0.346	0.09	0.154	0.283	1.134	0.525	0.626	0.167	0.191	0.005	0.156	0.003	0.095	0.001	0.029	0.026	0.019	0.008	0.012	4.472	0.049	0.045	0.162	0.176	0.036	0.045	0.033	0.032	0.165	0.036	0	0.001	0.011	0.013	0	0	0	0	0.004	0.033	0.001	0.001	0	0.099	0.126	0.009	0.041	0.14	0.815	0.022	0	0.004	0.008	0.003	0	0	0.006	0.035	0.035	0.253
ASV_60	1.934	13.413	0.0456671809861924	0.233871320808076	NotSig	0.603	0.264	0.106	0.323	0.093	0.103	0.023	0.056	0.071	0.008	0.136	0.089	0.07	0.012	0.046	0.027	0.009	0.002	0.25	0.116	10.563	0.203	0.07	0.019	0.017	0.016	0.002	0.105	0.15	0.005	0.002	0.207	0.002	0.005	0.03	0.032	0.035	0.899	0.033	9.491	0.178	0.008	0.02	0.404	0.002	0.001	0.005	4.148	0.003	0.001	1.952	0	0	0.251	0.187	1.913	0.043	0.07	0.074	0	0.203	0.001	1.285	0.026	0	0.151	0.27	0.013	0
ASV_156	4.244	13.131	0.0471227559777724	0.234227816477751	NotSig	0.643	0.058	0.006	0.004	0	0.006	0.005	0.002	0.022	0.096	0.06	0.026	31.554	0.062	0.055	0.128	0.024	0.06	0	0	0	0	0	0	0.001	0	0.001	0	0	0	0	0.055	0	0	0	0.001	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.042	0.931	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0
ASV_870	-1.502	10.304	0.0508941682628691	0.243793755403807	NotSig	0.077	0.146	0.348	0.015	0.019	0.04	0.059	0.133	0.178	0.03	0.203	0.335	0.031	0.456	0.097	0.345	0.394	0.224	0.014	0.029	0.04	0.018	0.109	0.029	0.109	0.009	0.036	0.003	0.027	0.002	0	0.011	0.038	0.121	0.207	0.005	0.05	0.005	0.06	0	0.022	0	0	0	0	0	0	0	0	0.011	0	0	2.31	0.049	0.056	0.003	0.014	0.001	0.005	0	0.003	0	0.011	0	0	0.008	0	0	0.013
ASV_55	1.289	12.999	0.0519323976008109	0.243793755403807	NotSig	0.607	0.244	1.393	1.83	0.081	0.078	0.781	0.153	0.098	1.506	0.366	0.414	0.083	1.499	0.392	0.361	0.282	0.673	0.105	0.099	0.023	0.114	0.007	0.075	0.438	0.026	0.15	0.01	1.516	0.119	4.463	0.068	0.438	0.396	0.659	0.036	0.099	0.226	0.104	0.287	0.189	0.086	0.688	0	0.081	1.633	0.047	0.877	1.577	5.377	0.093	0.236	0.206	0.1	0.35	0.024	0.161	0.524	0.329	0.215	0.074	0.657	0.049	0.002	0.003	1.343	0.076	0.008	0.029
ASV_143	2.078	10.01	0.0535083930381081	0.244403200633521	NotSig	0.101	0.021	0.163	0.035	0.123	1.068	0.008	0.73	0.103	0.128	0.288	0.123	0.119	0.496	0.173	0.228	0.041	0.193	0	0.011	0.034	0.007	0.001	0.015	0.011	0.009	0.003	0.003	0	0.002	0	0.028	0.024	0.01	0.051	0.004	0.012	0.005	0	0.001	0.77	0.012	0	0	0	0	0	0	0	0	0	0	0.191	0.021	0.007	0	0.023	0.119	0	0	0	0	0	0	0	0	0	0	0
ASV_167	2.563	10.695	0.0626291409131836	0.278534863534948	NotSig	0.186	0.021	0.505	0.13	0.131	4.453	0	0.081	0.209	0.399	1.595	0.123	0.007	0.446	0.071	0.16	0.193	0.637	0	0	0.003	0.006	0.001	0	0.001	0.003	0	0.002	0.003	0	0.003	0.059	0	0	0.087	0.001	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0.329	0.003	0.007	0.007	0	0.004	0.006	0	0.004	0	0	0	0	0	0	0	0
ASV_147	1.77	10.186	0.0701919258401362	0.298968894891816	NotSig	0.103	0.031	0.068	1.601	0.256	0.068	0.06	0.1	0.058	0.114	0.166	0.281	0.135	0.826	0.175	0.276	0.045	0.039	0	0.015	0.002	0.03	0.003	0.005	0.005	0	0.001	0.02	0.401	0.009	0.003	0	0.004	0.01	0.021	0	0.001	0.112	0.119	0	0	0	0	0	0	0	0	0	0.004	0.001	0.131	0	0.193	0.013	0	0.01	0.175	0.037	0.062	0.001	0	0	0.011	0	0.001	0.011	0	0.005	0
ASV_130	1.512	10.289	0.0716528758071213	0.298968894891816	NotSig	0.121	0.04	1.054	0.046	0.064	0.312	0.475	0.501	0.509	0.061	0.306	0.107	0.13	0.081	0.147	0.119	0.218	0.544	0.002	0.048	0.026	0.037	0.001	0.012	0.025	0	0.019	0.025	0.003	0.002	0.002	0.736	0.003	0.012	0.359	0.012	0.004	0.003	0.006	0	0.001	0.001	0	0	0	0.001	0.003	0.004	0.007	0	0.004	0.001	0.22	0.133	0.026	0	0.019	0.178	0.002	0	0.009	0.006	0.011	0	0	0	0.013	0.057	0.01
ASV_118	1.696	11.433	0.0725309153287838	0.298968894891816	NotSig	0.226	0.071	0	0	0.031	0.009	0	0	0	0.065	0.005	0.026	0.096	0.017	0.041	0.039	0.024	0.023	0.142	0.004	0.058	0.015	0	0.226	0.214	2.469	0.186	0.093	0.26	0.504	0.036	0	0.099	1.358	0.25	0.201	1.076	0.779	0.167	0.011	0.001	0	0	0.064	0.021	0	0.001	0.205	0.001	1.088	1.299	0.077	0.02	0.356	0.002	0.019	0.035	0	0.045	0	0	0.119	0	0.003	0.23	0.384	0	0.001	0
ASV_28	4.575	12.152	0.0816403274537193	0.328505127135204	NotSig	0.712	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.046	0	0	0.001	0	0.384	0	0	0	0	0	0.874	32.128	1.685	0.425	0.01	0.001	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295	0	0	0	0	0	0	0	0	0	0
ASV_35	1.342	12.628	0.0853134892457096	0.335301853081975	NotSig	0.46	0.201	0.076	0.026	0.035	0.035	0.024	0.529	0.04	0.252	0.106	0.101	0.016	0.038	0.021	0.037	0.077	0.008	0.082	0.158	2.709	0.122	2.627	5.768	0.959	0.638	0.105	0.086	0.012	0.014	0.003	0.018	0.335	0.072	0.03	0.036	0.199	0.133	2.012	0.001	0.818	0.001	0.208	0.046	0	0.123	1.221	1.469	0.628	0.946	0.001	0	0.035	0.103	0.157	0.949	0.113	0	0.481	0.113	0.392	0	0.87	0.037	0.068	0.003	0.019	0.064	0.01
ASV_140	1.794	9.826	0.0924970919493882	0.355272921351059	NotSig	0.094	0.024	0.429	0.018	0.032	0.88	0.005	0.184	0.784	0.006	0.4	0.095	0.211	0.071	0.035	0.084	0.156	0.522	0.002	0.011	0.035	0.02	0.113	0	0.06	0.003	0.003	0	0	0	0	0.245	0.005	0.029	0.229	0	0.004	0.003	0	0	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0.144	0.2	0.039	0	0.011	0.003	0.003	0	0	0	0	0	0	0	0	0.001	0.004
ASV_76	-0.887	11.432	0.0956082919052231	0.359062251821838	NotSig	0.16	0.269	0.167	0.211	0.139	0.074	0.34	0.274	0.125	0.114	0.14	0.547	0.213	0.79	0.339	0.308	0.207	0.179	0.023	0.189	0.031	0.18	0.187	0.051	0.028	0.044	0.005	0.198	0.376	0.038	0.026	0.046	0.28	0.058	0.159	0.074	0.404	0.133	0.099	0.025	0.326	0.012	0.107	0.297	0.216	0.007	0	0.004	0.011	0.012	0.204	0	0.203	0.144	0.095	0.072	0.3	0.086	0.017	0.094	0.124	0.004	0.014	0.005	0.442	2.263	0.012	0.577	0.127
ASV_61	2.454	10.781	0.0998664714920581	0.366900732220822	NotSig	0.198	0.037	0.356	0	1.12	0.046	0	0.508	0.675	0.114	0	0	0.002	0.308	5.563	0.479	0.002	0.002	0	0	0	0	0	0.01	0.08	0	0.045	0.002	0.03	0.028	0.026	0.004	0	0.007	0.013	0.481	0	0	0.004	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0.554	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.012	0.057
ASV_31	-1.04	12.962	0.104792362545701	0.376806580217522	NotSig	0.41	1.131	0.029	0.033	0.048	0.279	0.031	0.164	0.037	0.061	0.09	0.105	0.016	0.019	0.044	0.05	0.071	0.136	0.285	0.094	0.066	0.053	2.868	0.117	0.129	0.798	0.067	0.042	0.22	4.806	0.135	0.008	1.804	0.997	0.306	0.464	0.328	0.334	0.861	0.794	0.226	0.243	0.27	0.005	0.002	0.011	1.146	0.675	0.232	0.917	0	0	0.017	0.059	0.176	0.492	14.015	0.003	0.902	0.103	0.006	1.418	0.32	0.907	0.007	0.08	0.225	0.501	0.001
