ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313
ASV_14	0.989	15.392	0.115436269965872	0.764312229221544	NotSig	1.247	0.628	0.084	0.067	1.559	1.076	1.652	0.014	2.081	0.123	0.792	0.014	2.725	1.475	0.92	0.177	4.054	4.298	0.084	0.545	0.828	0.066	0.083	4.146	1.072	0.491	0.001	0.32	1.765	1.258	1.333	0.009	0.005	0.204	0.02	0.031	0.04	0.081	1.532	0.038	0.171	1.473	0.172	0.212	0.44
ASV_13	0.964	15.886	0.0755442356574236	0.764312229221544	NotSig	1.402	0.718	0.183	0.072	3.599	0.535	1.954	0.043	0.872	0.146	1.274	0.072	5.43	0.023	0.717	0.931	0.366	2.34	5.269	0.399	0.299	0.291	0.271	0.36	0.48	0.031	0.018	3.043	0.186	0.001	3.761	0.01	6.057	0.228	0.335	0.213	1.378	0.053	0.167	0.021	0.073	0.13	0.002	0.103	0.766
ASV_15	1.732	15.605	0.0105854555717298	0.567376479506837	NotSig	1.329	0.4	0.062	0.103	1.803	4.919	3.042	0.011	2.776	0.666	0.137	0.341	2.371	0.203	0.496	0.068	3.142	0.481	1.97	0.548	0.195	0.05	0.073	4.985	0.669	0.691	0.001	0.406	0.355	0.074	0.237	0.038	0.003	0.204	0.011	0.003	0.01	0.029	0.417	0.034	0.11	0.953	0.093	0.066	0.148
ASV_18	-1.205	17.143	0.636941412020333	0.904563854045683	NotSig	0.847	1.953	0.163	0.085	0.021	1.742	1.78	0.051	0.088	0.11	0.179	5.657	0.003	1.86	0.004	1.774	0.518	0.37	0	0.212	2.889	0.244	0.141	11.124	8.22	14.468	0.006	0.158	3.889	1.643	0.032	5.294	0.016	0	0.003	0.102	0.084	0.048	0.269	0.249	0.138	0.282	0.457	0.764	0.043
ASV_12	-0.47	16.611	0.742446473550949	0.957812626184048	NotSig	0.337	0.467	4.361	0.626	0.015	0.005	0.002	0.595	0.009	0.035	0	0.067	0.004	0	0.001	0	0	0	0.01	0.08	0.742	10.008	0.447	0.018	0.552	0.004	0.215	0.024	0	0	0	0.004	0.022	0	0.004	0	0.008	0.004	0.006	0.001	0.001	0	0	0	0
ASV_22	0.577	14.799	0.970090783335633	0.987674768429551	NotSig	0.493	0.331	1.047	0.092	1.271	0.146	2.817	0.004	0.051	0	0.318	0	0	0.008	0	2.491	0.001	0.005	0.137	0.086	0.17	0.814	0.342	0.172	0.297	0.017	0.017	0.026	0.042	0	0.044	0	0.003	0	2.063	1.366	0.013	0.006	0.052	0.049	0.168	0	0	0	2.852
ASV_25	-0.07	17.166	0.146122520175991	0.832175191030374	NotSig	0.816	0.857	5.383	0.485	0.786	0.033	0.094	0.23	0.286	0.004	0.025	0.018	0.211	0.031	0.594	0.067	0.007	0.146	5.475	0.293	0.448	3.977	0.722	0.185	0.055	0.003	0.106	0.601	0.031	0.001	0.053	0.001	14.709	0.005	0.351	0.556	0.079	0.008	0.006	0.004	0.005	0	0	0	0.07
ASV_23	-0.324	15.3	0.756144252831017	0.960814877657458	NotSig	0.514	0.644	0.102	0.115	1.464	0.213	1.111	0.204	1.815	0.117	1.688	0	0.049	0.025	0.864	0.374	0.04	0.265	0.296	1.67	0.781	0.097	0.167	0.083	2.383	0.02	0	0.136	0.288	0.105	0.664	0.098	0	1.095	4.034	0.082	0.218	0.294	0.352	0.242	1.664	0.94	0.411	0.267	0.65
ASV_17	3.879	17.889	0.593159134146112	0.904563854045683	NotSig	1.977	0.134	0.079	5.501	0.24	0.015	0.012	24.269	0.003	0.024	0.001	0.012	0.032	0	0.104	0	0.139	0.465	2.714	0.091	0.166	0.114	0.594	0.061	0.007	0.09	1.042	0.018	0.011	0.026	0	0.021	0.009	0.184	0.094	0.004	0.061	0.009	0.769	0.013	0.008	0	0.011	0.071	0.021
ASV_20	0.419	13.797	0.352800667155028	0.879648483156521	NotSig	0.18	0.134	0.376	0.164	0.401	0.074	1.423	0.038	0.075	0.001	0.052	0.024	0	0	0.001	0.07	0	0.35	0.004	0.176	0.132	0.396	0.246	0.028	0.703	0.027	0.218	0.104	0.001	0	0	0.003	0.178	1.245	0.001	0.012	0	0	0.016	0	0	0	0	0	0.008
ASV_38	1.63	15.871	0.0394856745202133	0.682790935484808	NotSig	1.5	0.485	0.064	0.067	0.075	2.362	0.264	0.029	0.062	0.991	2.127	3.674	5.992	2.308	0.943	0.159	5.862	0.391	0.134	0.211	0.177	0.039	0.122	0.444	0.125	5.139	0.008	0.089	2.386	0.046	1.583	0.456	0.059	0.013	0.024	0.027	0.073	0.515	0.124	0.185	0.395	0.182	0.142	0.037	0.006
ASV_16	-1.049	15.525	0.44337031160819	0.879648483156521	NotSig	0.155	0.321	0.089	2.205	0.022	0.005	0	0.31	0	0	0	0	0.003	0	0	0.001	0	0	0.001	4.716	0.125	0.102	2.05	0.003	0.134	0	1.176	0.002	0	0	0	0	0.007	0	0	0.001	0.003	0.001	0.007	0	0.009	0	0.001	0.004	0
ASV_26	-0.568	17.289	0.685102513098632	0.933728425110232	NotSig	1.061	1.572	0.193	0.144	0.146	0.547	0.819	0.026	0.052	1.559	1.799	1.412	1.201	1.738	1.192	6.03	0.45	0.711	0.014	0.214	1.278	0.258	0.301	0.123	1.23	0.404	0.007	0.093	0.55	1.211	16.011	7.746	0.022	3.138	3.364	0.361	0.16	0.263	0.347	0.243	0.179	2.726	0.084	0.487	0.084
ASV_10	-22.606	16.468	0.000774267678713354	0.130851237702557	Depleted	0	0.638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	9.066	0	0	0	2.013	0	0	0	0	0	0	0	1.589	1.178	0.973	0.584	0.413	0.542	0.111	0.037	0.057	0.024
ASV_27	0.139	15.695	0.796439219698613	0.987674768429551	NotSig	0.55	0.499	0.052	0.105	0.114	1.288	2.028	0.005	3.626	0.072	0.062	0.585	0.423	0.036	0.297	0.289	0.325	0.039	0.003	0.19	0.247	0.061	0.088	0.318	0.686	0.016	0.001	0.273	0.243	0.108	0.071	5.304	0.136	0.319	0.113	0.029	0.192	0.033	0.058	0.02	0.295	1.194	2.036	0.925	0.029
ASV_21	-2.208	14.205	0.184475507611296	0.832175191030374	NotSig	0.047	0.219	0.411	0.097	0	0.021	0.236	0.014	0.007	0	0.001	0	0	0	0	0	0.007	0	0.011	1.844	1.888	0.357	0.314	0	1.105	0.002	0.049	0.008	0	0.013	0	0	0.012	0.003	0.02	0.014	0.008	0.015	0.01	0.003	0.012	0	0	0.011	0.001
ASV_65	0.463	16.597	0.610583270452097	0.904563854045683	NotSig	0.913	0.662	0.027	0.069	0.44	0.371	0.181	0.026	0.713	0.011	9.916	0.104	0.34	1.235	0.459	0.031	0.785	0.548	0.261	0.313	0.425	0.033	0.047	0.533	0.532	0.133	0	0.034	0.429	3.415	7.038	0.093	0	0.019	0.255	0.022	1.073	0.064	0.229	0.214	0.175	0.692	0.211	0.529	0.712
ASV_40	0.169	13.92	0.960375757652828	0.987674768429551	NotSig	0.29	0.258	0.156	0.177	0.137	0.015	0.023	1.55	0.06	0.008	0.052	0.054	0.065	0	0.196	0.531	0.04	1.161	0.71	0.171	0.268	0.227	0.248	0.026	0.101	0.017	1.113	0.267	0.018	1.07	0.263	0.129	0.759	0.256	0.722	0.03	0.08	0.009	0.773	0.015	0.015	0	0.007	0.01	0.117
ASV_54	0.239	16.244	0.930708518184293	0.987674768429551	NotSig	0.714	0.605	0.106	0.036	0.066	0.05	5.637	0.016	1.495	0.076	0.405	0.003	0.992	0.002	0.753	0.006	2.47	0.024	0	0.115	0.112	0.1	0.092	0.641	0.626	1.439	0.011	0.127	0.013	0.003	7.76	0	0	0.083	0.412	0.045	0.01	0.014	0.019	0.015	0.175	3.055	0.106	0.556	0.193
ASV_35	-0.636	14.534	0.557603545748209	0.895966634178248	NotSig	0.201	0.312	0.035	0.103	0.157	0.949	0.113	0	0.481	0.113	0.392	0	0.87	0.037	0.068	0.003	0.019	0.064	0.01	0.317	0.287	0.042	0.045	0.216	1.954	0.001	0	0.101	0.101	0.169	0.632	0	0	0.033	0.009	0.01	0	0	0.001	0	0	2.372	0.107	0.963	0.756
ASV_31	0.128	17.097	0.892535408920636	0.987674768429551	NotSig	1.131	1.035	0.017	0.059	0.176	0.492	14.015	0.003	0.902	0.103	0.006	1.418	0.32	0.907	0.007	0.08	0.225	0.501	0.001	0.24	0.292	0.033	0.09	0.09	1.424	0.276	0	0.203	0.515	1.938	0.001	7.005	0.019	5.336	0.001	0.055	0.07	0.17	0.274	0.07	0.189	7.736	0.167	0.656	0.056
ASV_33	0.857	14.158	0.573832340645558	0.89794134786203	NotSig	0.166	0.092	0.461	1.828	0.034	0.007	0	0.137	0.009	0.162	0.16	0	0	0	0	0.008	0	0.005	0.01	0.231	0.135	0.485	0.94	0.003	0.151	0	0.134	0.034	0	0.018	0.004	0	0.001	0.023	0.067	0.011	0.005	0.001	0.015	0.022	0.005	0	0.061	0.012	0.024
ASV_37	-0.152	15.402	0.432968335060653	0.879648483156521	NotSig	0.227	0.252	2.62	0.108	0.077	0.014	0	0.125	0.005	0.015	0.004	0.001	0.004	0	0.548	0.024	0.049	0.253	0.01	1.341	0.297	4.331	0.047	0.029	0.005	0.002	0.013	0.002	0.199	0.003	0	0	0	0	0.004	0.001	0.013	0.071	0.041	0.014	0.02	0	0.076	0.024	0.02
ASV_51	1.189	15.957	0.221482084682292	0.832175191030374	NotSig	1.699	0.745	0.037	0.387	0.045	0.791	0.115	0.03	4.743	3.167	2.427	4.871	0.32	6.363	0.701	2.234	1.11	1.539	0.006	0.127	0.107	0.061	0.235	0.603	0.549	1.758	0.018	0.079	5.321	0.883	1.075	0.603	0.003	0.055	0.066	0.065	1.921	0.329	0.39	1.641	0.882	0.34	1.187	1.06	0.011
ASV_87	1.135	16.707	0.438093809600225	0.879648483156521	NotSig	1.127	0.513	0.168	0.123	0.009	0.377	0.035	0.254	1.94	1.618	0.267	0.003	0	0.503	1.177	10.7	0.632	1.339	0.007	0.3	0.244	0.169	0.182	0.006	1.055	0.012	0.039	0.188	0.041	2.447	0.026	0.001	0.009	0.057	0.003	0.07	0.084	0.787	1.135	0.525	3.316	2.357	0.167	0.108	0.01
ASV_39	-2.511	17.613	0.227950539723349	0.832175191030374	NotSig	0.191	1.087	0.327	0.013	0.009	0.005	0.709	0.043	0.014	0.008	0.998	0.006	0.157	0.614	0.001	0	0.335	0.003	0	0.286	0.541	0.402	0.182	0.144	0.096	0.029	0.001	0.026	0.062	0.031	0.457	0.218	0	0	0	0.031	4.713	0.019	0.042	0.045	0.053	20.043	0.046	0.482	0.315
ASV_67	2.796	18.049	0.0162989107725463	0.567376479506837	NotSig	3.109	0.448	0.092	0.595	0	10.166	0.284	0.171	0.038	0.073	0.006	8.997	0.003	27.127	0.044	0.726	0	4.526	0.003	0.002	0.002	0.108	0.083	0.274	0.046	0.006	0.066	0.035	10.689	0.001	0.008	0.128	0.001	0.163	0	0.005	0.003	0.005	0.006	0.003	0.004	0	0	0	0
ASV_55	0.997	13.827	0.0215290168728163	0.594066475104061	NotSig	0.244	0.122	0.206	0.1	0.35	0.024	0.161	0.524	0.329	0.215	0.074	0.657	0.049	0.002	0.003	1.343	0.076	0.008	0.029	0.128	0.071	0.449	0.246	0.08	0.329	0.014	0.176	1.453	0.001	0	0.015	0.001	0.011	0.007	0.003	0.042	0.015	0.017	0.074	0.004	0.029	0	0	0	0.014
ASV_52	0.024	16.775	0.0985491692690224	0.764312229221544	NotSig	0.558	0.548	0.037	0.015	0.344	0.06	0.37	0.045	0.62	0.065	0.302	1.343	2.734	0.011	0.011	0.304	0.118	3.029	0.073	0.125	0.075	0.025	0.068	0.095	0.468	0.007	0.054	0.456	0.161	0.001	0.852	0.044	0.023	0.264	0.004	11.214	0.048	0.059	0.066	0.062	0.064	0	0	0.001	0.025
ASV_36	-0.274	13.848	0.930498756765283	0.987674768429551	NotSig	0.168	0.204	0.265	0.543	0.095	0.086	0.181	1.118	0.163	0.013	0	0	0.001	0	0	0.046	0.006	0.004	0.343	0.468	0.937	0.498	0.648	0.013	1.475	0.006	0.582	0.012	0.006	0.001	0.006	0.009	0	0.067	0.195	0.02	0.003	0.009	0.192	0	0.017	0	0	0.001	0.133
ASV_29	-0.896	15.611	0.834600106152855	0.987674768429551	NotSig	0.468	0.871	0.084	0.331	0.258	0.56	0.119	0.119	0.263	0.672	0.25	0.806	0.162	1.521	1.085	0.702	0.251	0.306	0.473	0.396	0.229	0.111	0.244	1.805	0.302	0.743	0.01	0.018	0.324	0.379	0.017	0.196	0.028	2.692	1.084	0.053	5.004	0.328	0.536	2.726	0.942	0.135	2.187	1.619	0.551
ASV_57	1.064	17.933	0.909434822883391	0.987674768429551	NotSig	1.532	0.733	0.047	0	0.152	25.02	0	0.007	0.008	0.001	0.038	0	0	0	0.134	0.096	0	0.529	0.013	0.075	0.003	0.086	0.002	0.003	0.108	0	0	0.005	0	3.382	0.122	0	0.012	6.32	0.01	0.061	0.086	0.046	8.635	0.042	0.048	0	0	0	0
ASV_43	-1.17	14.151	0.231062859124018	0.832175191030374	NotSig	0.164	0.37	0.24	0.397	0.221	0.012	0.243	0.082	0.06	0.021	0.084	0.083	0.148	0.002	0.004	0.096	0.012	0.843	0.243	0.341	0.797	0.321	0.464	0.06	0.23	0.004	0.2	1.819	0.007	1.137	0.192	0.378	1.262	0.186	0.163	1.371	0.147	0.009	0.191	0.014	0.023	0.108	0.004	0.032	0.151
ASV_46	0.622	15.119	0.404181064720124	0.879648483156521	NotSig	0.255	0.166	0.49	0.041	0.004	0.003	3.56	0.143	0.075	0	0	0	0.001	0	0	0	0	0.017	0.006	0.861	1.398	0.584	0.173	0.012	0.945	0.017	0.127	0.006	0	0.006	0	0.029	0	0.025	0.003	0.1	0	0.004	0.001	0	0.004	0	0	0.014	0.003
ASV_59	-1.24	16.652	0.628063062599134	0.904563854045683	NotSig	0.242	0.572	0.054	0.072	0.294	0.034	1.347	0.014	1.461	0.004	0.076	0.018	0.462	0	0.019	0.004	0.004	0.118	0.133	0.063	0.068	0.058	0.171	10.297	0.201	0.041	0	0.168	0.025	0.248	0.966	0.676	0.001	0.96	0.387	0.037	0.057	0.01	0.079	0.039	0.026	0	0.016	0.006	0.259
ASV_30	-0.905	15.248	0.400193271963554	0.879648483156521	NotSig	0.165	0.309	0.173	2.397	0.079	0.088	0	0.01	0.014	0.001	0.003	0.008	0	0	0.003	0.003	0	0.019	0.004	1.87	0.83	0.122	3.892	0.023	0.034	0.002	0.007	0.081	0	0	0	0	0	0.021	0.076	0.02	0.403	0.028	0.492	0.039	0.072	0	0	0	0.01
ASV_138	-0.367	15.061	0.880231055503801	0.987674768429551	NotSig	0.214	0.276	0.357	0.008	0.041	0.062	0.048	0.001	1.373	0.633	0.379	0.001	0	0.002	0.736	0	0	0	0	0.005	3.418	0.468	0.096	0.114	0.228	0.028	0	0.02	0	0	0.325	0.007	0.028	0.029	0	0	0.004	0.001	0.004	0	0	0.486	0.922	0.457	0.542
ASV_42	1.81	15.962	0.35122931032494	0.879648483156521	NotSig	0.576	0.164	0.258	0.387	6.383	0.009	0.025	0.036	0.006	1.168	0.015	0.001	0	0	0.821	0.458	0.016	0.035	0.168	0.026	0.01	0.324	0.526	0.072	1.328	0.002	0.046	0.034	0.057	0.001	0.003	0.001	0.008	0	1.236	0.023	0.117	0.01	0.023	0.004	0.053	0	0.001	0	0.363
ASV_72	-1.109	17.413	0.89131446729107	0.987674768429551	NotSig	0.595	1.284	0.057	0.138	7.805	0.177	0.014	0.114	0.002	0.103	0.116	0.006	0	0	0.356	0.204	0.065	0.575	0.389	0.009	0.313	0.05	0.22	0.158	0.408	0	0.669	0.108	0.034	0.929	0.011	1.763	17.456	6.909	3.399	0.014	0.031	0.005	0.006	0.003	0.003	0.007	0.01	0.051	0.815
ASV_60	-0.331	14.224	0.698920855606891	0.944940996780517	NotSig	0.264	0.332	0	0.251	0.187	1.913	0.043	0.07	0.074	0	0.203	0.001	1.285	0.026	0	0.151	0.27	0.013	0	0.226	0.244	0.025	0.141	0.257	0.022	1.839	0.011	0.018	0	0.122	0.046	0	0	0	0.003	0.03	0.094	0.075	0.16	0.918	1.86	0.473	0.64	1.434	0
ASV_41	1.598	14.651	0.66336130833634	0.918918533679028	NotSig	0.247	0.081	0.02	0.226	0.036	0.007	0.014	0.541	0.01	0.048	0	0.004	0.013	0.005	0.074	0	0.519	0.106	2.573	0.116	0.115	0.075	0.028	0.051	0.01	0.044	0.281	0.061	0.003	0	0	0.024	0.131	0	0.063	0.016	0.006	0.004	0.306	0.008	0.004	0	0.007	0.725	0.041
ASV_48	-0.151	15.622	0.447549165897019	0.879648483156521	NotSig	0.26	0.288	0.052	0.092	0	0.009	0	0.475	3.764	0	0	0.018	0.001	0	0	0	0	0.001	0	0.601	5.043	0.033	0.603	0.012	0.257	0.002	0.222	0.02	0	0	0	0.656	0.009	0	0	0.014	0	0	0	0.001	0.02	0	0	0	0.001
ASV_24	3.625	9.776	0.713576227263577	0.956124792468575	NotSig	0.011	0.001	0	0.01	0	0.088	0	0	0.084	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0.004	0	0.002	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	0.545	13.842	0.735777813876007	0.956511158038809	NotSig	0.246	0.169	0.245	1.469	0.225	0.031	0.009	0.616	0.008	0	0	0	0	0	0.001	0	0.157	0.748	0.672	1.175	0.227	0.183	0.526	0.035	0.132	0.033	0.156	0.03	0	0.001	0	0	0.005	0.433	0.068	0.01	0.064	0.009	0.032	0.031	0.017	0	0.003	0.007	1.205
ASV_113	-0.184	13.84	0.871725856102983	0.987674768429551	NotSig	0.284	0.323	0.109	0.067	0.225	0.208	1.276	0.018	0.425	0.025	0.78	0.014	1.068	0.082	0.1	0.188	0.095	0.126	0.021	0.312	0.203	0.08	0.088	1.467	0.748	0.082	0	0.078	1.266	0.224	0.252	0.004	0	0.017	0.029	0.01	0.125	0.064	1.235	0.164	0.496	0.553	0.311	0.294	0.288
ASV_34	-1.74	14.556	0.0567997203053559	0.764312229221544	NotSig	0.13	0.434	0.099	0.113	0.343	0.526	0.133	0.01	0.05	0.089	0.116	0.369	0.028	0.012	0.189	0.028	0.007	0.095	0.001	0.247	0.503	0.061	0.085	0.136	0.575	0.076	0.001	0.066	0.094	0.069	0.015	0.757	0	0.509	0.955	0.05	0.944	0.237	0.249	0.353	1.093	2.409	0.045	0.602	1.15
ASV_69	0.21	14.88	0.377800406815388	0.879648483156521	NotSig	0.301	0.26	0.04	0.085	0.191	0.676	0.122	0.005	0.355	0.01	0.244	0.327	1.152	1.559	0.089	0.149	0.009	0.076	0.022	0.281	0.151	0.047	0.049	0.034	0.655	0.415	0	0.029	0.267	0.074	3.015	0.013	0	0.052	0	0.008	0.006	0.043	0.09	0.064	0.18	0.671	0.137	0.37	0.103
ASV_62	1.068	14.344	0.550916498738819	0.895966634178248	NotSig	0.551	0.263	0.03	0.051	2.08	1.506	0.06	0.007	0.548	1.461	0.004	0	0.548	1.003	0.075	0.024	1.904	0.051	0.01	0.17	0.148	0.03	0.021	1.674	0.321	0.045	0	0.08	0.541	0.544	0.238	0	0	0.007	0.007	0.007	0.015	0.193	0.268	0.08	0.289	1.207	0.289	0.441	0.214
ASV_49	-0.907	15.512	0.950417544537376	0.987674768429551	NotSig	0.27	0.506	0.111	1.282	0.017	0.012	0.004	0.071	0.099	1.22	0.5	0	0.001	0	0.007	1.164	0.014	0.019	0.069	0.464	0.136	0.108	1.793	0.015	0.036	0.001	0.049	0.132	0.001	0	0.003	0	0.129	3.176	2.026	0.053	4.673	0.048	0.258	0.028	0.025	0	0.002	0.006	0
ASV_28	-2.838	14.347	0.103476338552256	0.764312229221544	NotSig	0.017	0.124	0	0	0	0	0	0	0.295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098	0	0	0	0.936	0	0	0	0	0	0	0	0.004	0.089	0.011	2.084	0.004	0	0	0	0	0
ASV_50	0.162	13.014	0.500433785602885	0.895966634178248	NotSig	0.076	0.068	0.03	0.613	0.022	0.019	0.019	0.543	0.03	0	0	0	0	0	0	0.001	0	0.003	0.007	0.101	0.013	0.014	0.827	0.025	0.079	0	0.584	0.01	0	0	0	0	0	0	0.098	0	0.003	0	0.001	0	0.005	0	0	0	0
ASV_58	0.802	13.186	1	1	NotSig	0.151	0.087	0.092	0.587	0.006	0.225	0.172	0.77	0.126	0	0	0	0	0	0	0.007	0.004	0.007	0.569	0.058	0.932	0.119	0.261	0.006	0.041	0.007	0.415	0.019	0	0.003	0.006	0.004	0.001	0	0.049	0.087	0.017	0.005	0.149	0.031	0.036	0	0	0.002	0.003
ASV_81	1.028	13.953	0.117586496803314	0.764312229221544	NotSig	0.365	0.179	0.025	0.079	0.174	0.669	0.213	0	0.807	0.118	0.26	1.269	1.586	0.317	0.215	0.255	0.157	0.019	0.034	0.214	0.075	0.039	0.058	0.051	0.29	0.045	0	0.156	0.05	0.102	0.32	0.923	0.003	0.004	0.003	0.008	0.017	0.027	0.156	0.118	0.22	0.943	0.231	0.446	0.15
ASV_56	-1.892	15.897	0.567268815722323	0.895966634178248	NotSig	0.076	0.283	0.193	0.01	0.691	0.038	0.005	0.008	0.051	0.021	0.004	0.024	0.007	0.005	0.167	0.001	0.003	0	0.066	0.039	0.161	0.111	0.024	0.139	6.1	0.002	0.003	0.066	0.064	0.093	0.091	0	0.001	0	0.013	0.001	0	0.005	0	0.001	0.007	0	0.001	0.086	0.341
ASV_47	2.143	14.425	0.618965462094402	0.904563854045683	NotSig	0.15	0.034	0.114	0.041	0.007	0	0	2.199	0.002	0	0.001	0.011	0	0	0	0.02	0.001	0.001	0.152	0.048	0.201	0.078	0.107	0	0	0	0.379	0.001	0	0	0.001	0	0	0	0.001	0.034	0.012	0.001	0.003	0.001	0.007	0	0.002	0	0.007
ASV_44	0.85	12.794	0.950445637032179	0.987674768429551	NotSig	0.098	0.054	0.168	0.71	0.073	0.002	0.002	0.084	0	0.013	0.001	0.001	0.139	0.002	0.081	0	0.033	0.349	0.008	0.507	0.127	0.1	0.141	0.012	0.01	0.002	0.025	0.016	0.011	0.001	0.001	0.034	0.04	0.14	0.01	0.007	0.033	0.006	0.039	0.045	0.032	0	0	0	0.074
